Street,Zip,"",Lo,High,School,Odd/Even
Brunswick Avenue,08618,"",1,822,King Elementary,""
Brunswick Avenue,08638,"",837,1438,Columbus Elementary,last odd 999/last even 1438
Brunswick Avenue,08638,"",1,1438,Rivera Middle,last odd 999/last even 1438
Bryn Mawr Avenue,08618,"","","",Gregory Elementary,""
Bryn Mawr Avenue,08618,"","","",Kilmer Middle School,""
Buckingham Avenue,08618,"","","",Jefferson Elementary,""
Buckingham Avenue,08618,"","","",Kilmer Middle School,""
Burton Avenue,08618,"","","",King Elementary,""
Burton Avenue,08618,"","","",Rivera Middle,""
Bushler Alley,08611,"","","",Columbus Elem (Harrison),""
Bushler Alley,08611,"","","",Dunn Middle,""
Butler Street,08611,"","","",Washington Elementary,""
Butler Street,08611,"","","",Dunn Middle,""
Cadwalader Drive,08618,"","","",Jefferson Elementary,""
Cadwalader Drive,08618,"","","",Kilmer Middle School,""
Cadwalader Terrace,08618,"","","",Kilmer Middle School,""
Cadwalader Terrace,08618,"","","",Jefferson Elementary,""
Cain Avenue,08638,"","","",King Elementary,""
Cain Avenue,08638,"","","",Rivera Middle,""
Calhoun Street,08618,"",1,588,Gregory Elem (Monument),""
Calhoun Street,08618,"",614,1998,King Elementary,last odd 875/last even 1998
Calhoun Street,08618,"",1,1998,Rivera Middle,last odd 875/last even 1998
Camden Street,08618,"","","",Gregory Elem (Monument),""
Camden Street,08618,"","","",Rivera Middle,""
Canal Street - East,08609,"","","",Hg-Wms. Middle,""
Canal Street - West,08609,"","","",Grant Elementary,""
Canal Street - West,08609,"","","",Rivera Middle,""
Capitol Street,08618,"","","",Gregory Elem (Monument),""
Capitol Street,08618,"","","",Rivera Middle,""
Capner Street,08610,"","","",Franklin Elementary,""
Capner Street,08610,"","","",Dunn Middle,""
Carroll Street,08609,"","","",Grant Elementary,""
Carroll Street,08609,"","","",Rivera Middle,""
Carteret Avenue,08618,"","","",Jefferson Elementary,""
Carteret Avenue,08618,"","","",Kilmer Middle School,""
Carver Lane,08618,"","","",Gregory Elem (Monument),""
Carver Lane,08618,"","","",Rivera Middle,""
Casper Alley,08618,"","","",Gregory Elem (Monument),""
Casper Alley,08618,"","","",Rivera Middle,""
Cass Street,08611,"",1,550,Mott Elementary,""
Cass Street,08611,"",603,End,Columbus Elem (Harrison),""
Cass Street,08611,"","","",Dunn Middle,""
Cavell Avenue,08618,"","","",King Elementary,""
Cavell Avenue,08618,"","","",Rivera Middle,""
Cedar Lane,08610,"","","",Franklin Elementary,Only #101
Cedar Lane,08610,"","","",Dunn Middle,Only #101
Centennial Avenue,08629,"","","",Robeson Elementary,""
Centennial Avenue,08629,"","","",Hg-Wms. Middle,""
Centre Street,08611,"",1,399,Parker Elementary,""
Centre Street,08611,"",400,End,Mott Elementary,""
Centre Street,08611,"","","",Dunn Middle,""
Chadwick Street,08638,"","","",King Elementary,""
Chadwick Street,08638,"","","",Rivera Middle,""
Chambers Street,08609,"",1,289,Hill Elementary,""
Chambers Street,08609,"",290,585,Robbins Elementary,""
Chambers Street,08611,"",617,1072,Washington Elementary,""
Chambers Street,08610,"",1125,1557,Franklin Elementary,Odd Numbers Only
Chambers Street,08609,"",1,585,Hg-Wms. Middle,""
Chambers Street,08610,"",617,1557,Dunn Middle,Odd Numbers Only
Chancery Lane - North,08618,"","","",King Elementary,""
Chancery Lane - North,08618,"","","",Rivera Middle,""
Chapel Street,08618,"","","",King Elementary,""
Chapel Street,08718,"","","",Rivera Middle,""
Charles Street,08618,"","","",Robbins Elementary,""
Charles Street,08618,"","","",Hg-Wms. Middle,""
Chase Court,08638,"","","",King Elementary,""
Chase Court,08638,"","","",Rivera Middle,""
Chase Street,08638,"","","",King Elementary,""
Chase Street,08638,"","","",Rivera Middle,""
Chauncey Avenue,08638,"","","",King Elementary,""
Chauncey Avenue,08638,"","","",Rivera Middle,""
Chelten Way,08638,"","","",Rivera Middle,""
Chelton Avenue,08638,"","","",Gregory Elem (Monument),""
Chelton Avenue,08638,"","","",Rivera Middle,""
Cherry Street,08638,"","","",Columbus Elementary,""
Cherry Street,08638,"","","",Rivera Middle,""
Chestnut Avenue,08609,"",1,453,Robbins Elementary,""
Chestnut Avenue,08609,"",455,1014,Washington Elementary,Last odd 1011/Last even 1014
Chestnut Avenue,08611,"",1013,1957,Columbus Elem (Harrison),""
Chestnut Avenue,08609,"",1,453,Hg-Wms. Middle,""
