school,road,from,to,oddeven,comment
EP,GAINSBORO RD,,,
LES,GALLO CT,,,
EP,GARDEN RD,,,
EP,GARRY CT,,,
EP,GEDNEY RD,,,
LES,GEORGE ST,,,
BF,GERVIN RD,,,
SL,GILPIN CT,,,
LES,GLENBROOK CT,,,
EP,GLENN AVE,0,280,
BF,GLENN AVE,282,345,
SL,GLENVIEW DR,,,
BF,GOLDEN PLACE,,,
LES,GORDON AVE,,,
SL,GRAF AVE,,,
LES,GRANDVIEW AVE,,,
LES,GREEN AVE,,,
EP,GREENFIELD AVE,,,
LES,GREENWOOD AVE,,,
EP,GROVE AVE,,,
BF,GROVERS MILL RD,,,
BF,HAMILTON CT,,,
EP,HARDING AVE,,,
SL,HARMONY AVE,,,
SL,HARRIS CT,,,
SL,HAVESON AVE,,,
BF,HAWK RD,,,
BF,HAWTHORNE PL,,,
BF,HAZELHURST AVE,,,
BF,HEATHER CT,,,
LES,HEDGE ROW CT,,,
SL,HELEN AVE,,,
BF,HEMLOCK CT,,,
LES,HENDRICKSON RD,,,
EP,HERITAGE WAY,,,
LES,HIGHFIELD CT,,,
BF,HIGHLAND RD,,,
LES,HILLCREST AVE,,,
EP,HILLSDALE RD,,,
LES,HOLLY LANE,,,
EP,HOOVER AVE,,,
SL,HOPATCONG DR,,,
SL,HOPE ST,,,
SL,HOPEWELL AVE,,,
BF,HOPKINS DR,,,
EP,HUGHES AVE,,,
LES,HUMPHREYS DR,,,
SL,HURON WAY,,,
BF,HYDE CT,,,
SL,INDIANA AVE,1333,1333,
SL,INDIANA AVE,1336,1336,
SL,INDIANA AVE,1503,1503,
SL,INDIANA AVE,1505,1505,
LES,INDIAN RUN,,,
BF,IRIS CT,,,
EP,IRWIN PLACE,,,
LES,IVY GLEN LANE,,,
BF,JACKIE DR,,,
LES,JAMES ST,,,
LES,JASMINE CT,,,
EP,JASPER AVE,,,
BF,JILL LANE,,,
LES,JOCHRIS DR,,,
EP,JOFFRE AVE,,,
BF,JOHNSON AVE,,,
LES,JOHNSON AVE,175,175,
EP,JOHNSON RD,,,
SL,JOYNER CT,,,
EP,J RUSSEL SMITH RD,,,
LES,JUNIPER CT,,,
EP,KARENA LANE,,,
LES,KEEFE RD,,,
EP,KENT CT,,,
EP,KETTERER CT,,,
BF,KINGS RD,,,
SL,KITE CT,,,
BF,KLOCKNER CT,,,
BF,KNOX CT,,,
SL,LAKE CT,,,
SL,LAKEDALE DR,,,
SL,LAKE DR,,,
BF,LANDFALL LANE,,,
LES,LANDOVER RD,,,
EP,LANNIGAN DRIVE,,,
SL,LANNING AVE,,,
BF,LARKSPUR LANE,,,
SL,LATTA CT,,,
LES,LAUREL WOOD DR,,,
LES,WEST LAUREL WOOD DRIVE,,,
EP,LAWN PARK AVE,,,
EP,LAWNSIDE DR,,,
EP,LAWRENCE AVE,,,
SL,LAWRENCEville RD,150,550,
LES,LAWRENCEville RD,2270,3801,
EP,LAWRENCEville RD,572,2261,
LES,LAWRENCE STATION RD,,,
BF,Lawrenceville - Pennington Road,10,202,odd
LES,Lawrenceville - Pennington Road,20,202,even
BF,LAWRENCIA DR,,,
SL,Lawrence Square Boulevard South,,,
SL,Lawrence Square Boulevard North,,,
BF,LENOX DR,,,
BF,LEWISVILLE RD,,,
SL,LITHO RD,,,
BF,LITTLE CIRCLE,,,
EP,LOCUST AVE,,,
EP,LOMBARD AVE,,,
LES,LOST TRAIL,,,
BF,LOTUS LANE,,,
SL,LUCERNE DR,,,
BF,LUMAR RD,,,
LES,Lawrenceville - Pennington Road,20,202,even
BF,LYNN PLACE,,,
SL,MABEL AVE,,,
LES,MAGNOLIA CT,,,
LES,MAIN ST,,,
BF,MANITEE AVE,,,Separate
LES,MANNING LANE,,,
LES,MANOR BLVD,,,
LES,MAPLE AVE,,,
BF,MAPLE LEAF DR,,,
SL,MAPLEWOOD AVE,,,
BF,MARCHESI DR,,,
BF,MARILYN CT,,,
LES,MARK CERMELE CT,,,
EP,MARLBORO RD,,,
BF,MARROW LANE,,,
SL,MARSH CT,,,
BF,MARVIN CT,,,
SL,MAYFLOWER AVE,,,
EP,MEADOWBROOK AVE,,,
BF,MEADOW ROAD,,,
SL,MEADOW WOODS LANE,,,
BF,MELVINA DR,,,
SL,MENDREY CT,,,
LES,MERION PLACE,,,
EP,MERLINE AVENUE,,,
BF,MERRITT DR,,,
SL,MICHIGAN AVE,106,142,
EP,MILLBROOK LANE,,,
EP,MILLERICK AVE,,,
BF,MILL RD,,,
LES,MIMOSA CT,,,
EP,MINK COURT,,,
LES,MONROE AVE,,,
BF,MORRELL RD,,,
BF,MORTON CT,,,
SL,MULBERRY ST,915,979,
SL,MULBERRY ST,951,979,
LES,MYA DR,,,
SL,MYRTLE AVE,,,
BF,NASH CT,,,
LES,NASSAU DR,,,
SL,NATHAN HALE AVE,,,
BF,NEWBERRY AVE,,,
SL,NEW YORK AVE,,,
EP,NORTHBROOK AVE,,,
LES,NORTH FIELD CT,,,
EP,OAKLYN TERR,,,
BF,OAK PLACE,,,
SL,OHIO AVE,1408,1661,
LES,OLD BRIDLE PATH,,,
BF,OLD DENOW RD,,,
LES,OLEANDER CT,,,
SL,ONEIL CT,,,
SL,ONTARIO WAY,,,
BF,ORCHARD AVE,,,
EP,ORCHARD LANE,,,
LES,OVERLOOK WAY,,,
BF,OWL'S WAY,,,
BF,OXFORD CT,,,
BF,PADDOCK DR,,,
LES,PAGODA CT,,,
BF,PALM CT,,,
BF,PALM ST,,,
EP,PARK AVE,,,
BF,PEACH TREE COURT,,,
BF,PEACH TREE DRIVE,,,
SL,PEAR ST,714,766,
BF,PEMBROKE CT,,,
LES,PENLAW RD,,,
LES,PHEASANT DR,,,
LES,PHILLIPS AVE,,,
EP,PIEDMONT AVE,,,
SL,PILGRIM AVE,,,
EP,PILLA AVE,,,
BF,PINE KNOLL DR,,,
SL,PINE ST,910,971,
BF,PIN OAK DR,,,
LES,PLAYERS LANE,,,
LES,POE RD,,,
SL,POILLON CT,,,
BF,POINSETT DR,,,
SL,POLK AVE,,,
BF,POLONIA AVE,,,
BF,PORT MERCER RD,,,
SL,PRESIDENT AVE,,,
LES,PRETTY BROOK RD,800,841,
BF,PRINCESS RD,,,
SL,PRINCETON AVE,1600,2175,
EP,PRINCETON AVE,2176,2600,
BF,PRINCETON AVE,2673,4200,
BF,PROVINCE LINE RD,4201,4457,
LES,PROVINCE LINE RD,4458,4750,
SL,PURITAN AVE,,,
SL,PUTNAM AVE,,,
SL,QUAKERBRIDGE RD,4018,4262,even
BF,QUAKERBRIDGE RD,4264,4276,even
LES,QUINCE CT,,,
BF,RAVONA PLACE,,,
SL,REED CT,,,
EP,REEDER AVE,,,
BF,REGENCY PLACE,,,
LES,REGISTRY DR,,,
EP,RENEE CT,,,
EP,REVIEW AVE,,,
BF,RICHARDS RD,,,
BF,RICH CT,,,
SL,RICKARD CT,,,
BF,RITA RD,,,
EP,ROLFE AVE,0,49,
BF,ROLFE AVE,50,72,
BF,ROSALIND RD,,,
LES,ROSEBERRY CT,,,
LES,ROSEDALE RD,634,729,
LES,ROSELAND AVE,,,
EP,ROSE ST,,,
BF,ROSETREE LANE,,,
EP,ROSSA AVE,,,
BF,ROUND TREE PLACE,,,
SL,US-1 HWY,0,3371,even
BF,US-1 HWY,2751,3371,odd
SL,brunswick pike,0,3371,even
BF,brunswick pike,2751,3371,odd
EP,ROXBORO RD,,,
BF,ROYAL OAK RD,,,
EP,RUBERT AVE,,,
BF,RUSTIC CT,,,
EP,RYDAL DR,,,
LES,SANTINA COURT,,,
SL,SCHERER CT,,,
BF,SEA PLACE,,,
EP,SETH CT,,,
LES,SHADOWSTONE LANE,,,
EP,SHELMET LN,,,
SL,SHERMAN PLACE,,,
LES,SHINNEY LANE,,,
LES,SHIRLEY LANE,,,
BF,SHORT ST,,,
EP,SKILLMAN AVE,,,
BF,SKY CT,,,
SL,SLACK AVE,,,
EP,SMITHFIELD AVE,,,
EP,SNYDER AVE,,,
LES,SOCIETY WAY,,,
BF,SONNET PLACE,,,
BF,_SOUTH ST,,,
BF,SPRING BEAUTY DR,,,
LES,SPRINGWOOD DR,,,
SL,SPRUCE ST,834,1120,even
EP,STELLA DR,,,
SL,STEVENS AVE,,,
EP,STEWARDS CROSSING CREEK,,,
EP,STEWARDS CROSSING WAY,,,
LES,STONERISE DR,,,
LES,STONEY CREEK PLACE,,,
BF,STONICKER DR,,,
SL,STOUT CT,,,
BF,STRATFORD DR,,,
SL,STRATTON PLACE,,,
BF,STURWOOD WAY,,,
EP,SUNSET RD,,,
BF,SURREY DR,,,
LES,SYCAMORE CT,,,
LES,TALL TIMBERS DR,,,
BF,TALON CT,,,
BF,TAMAR CT,,,
SL,TARTAN CT,,,
BF,TEAK LANE,,,
BF,TEMPLE TERR,,,
EP,TEXAS AVE,,,
BF,THERESA DR,,,
EP,TIFFANY WOODS RD,,,
LES,TIOGA AVE,,,
LES,TITUS AVE,,,
LES,TOFTREES CT,,,
BF,TOMLYN DR,,,
SL,TOMPKINS PLACE,,,
BF,TOWER PLACE,,,
BF,TOWN CT,,,
BF,TRACEY DR,,,
EP,TRADITIONS WAY,,,
BF,TRAFALGAR CT,,,
SL,TRUMBULL AVE,,,
EP,TUDOR LANE,,,
EP,TULANE AVE,,,
NEW,ALLURA CT,,,
BF,BALSAM DR,,,

NEW,WEST CHURCH ROAD,,,
skip,empty rd,,,
NEW,ENTERPRISE AVENUE,,,
NEW,FOREST RIDGE DRIVE,,,
