school,road,from,to,oddeven
UN,RICH COURT,,,
UN,RICHARDS ROAD,,,
UN,RICKARD COURT,,,
UN,RITA ROAD,,,
UN,ROLFE AVENUE,,,
UN,ROSALIND DRIVE,,,
UN,ROSE STREET,,,
UN,ROSEBERRY COURT,,,
UN,ROSEDALE ROAD,,,
UN,ROSELAND AVENUE,,,
UN,ROSETREE LANE,,,
UN,ROSSA AVENUE,,,
UN,ROUNDTREE PLACE,,,
UN,ROXBORO ROAD,,,
UN,ROYAL OAK ROAD,,,
UN,RUPERT AVENUE,,,
UN,RUSTIC COURT,,,
UN,RYDAL DRIVE,,,
UN,SCHERER COURT,,,
UN,SCHINDLER COURT,,,
UN,SEA PLACE,,,
UN,SETH COURT,,,
UN,SHADOWSTONE LANE,,,
UN,SHAWN ROAD,,,
UN,SHERMAN PLACE,,,
UN,SHINNEY LANE,,,
UN,SHIRLEY LANE,,,
UN,SHORT JOHNSON AVENUE,,,
UN,SHORT STREET,,,
UN,SIMONELLI COURT,,,
UN,SKILLMAN AVENUE,,,
UN,SKY COURT,,,
UN,SLACK AVENUE,,,
UN,SMITHFIELD AVENUE,,,
UN,SOCIETY WAY,,,
UN,SONNET PLACE,,,
UN,SOUTH STREET,,,
UN,SPRING BEAUTY DRIVE,,,
UN,SPRINGWOOD DRIVE,,,
UN,SPRUCE STREET,,,
UN,STELLA DRIVE,,,
UN,STEVENS AVENUE,,,
UN,STEWARDS CROSSING CREEK,,,
UN,STEWARDS CROSSING WAY,,,
UN,STONERISE DRIVE,,,
UN,STONICKER DRIVE,,,
UN,STOUT COURT,,,
UN,STRATFORD DRIVE,,,
UN,STRATTON PLACE,,,
UN,STRAWBERRY STREET,,,
UN,STURWOOD WAY,,,
UN,SUNSET ROAD,,,
UN,SURREY DRIVE,,,
UN,SYCAMORE COURT,,,
UN,TALL TIMBERS DRIVE,,,
UN,TALON COURT,,,
UN,TAMAR COURT,,,
UN,TARTAN COURT,,,
UN,TEAK LANE,,,
UN,TEMPLE TERRACE,,,
UN,TEXAS AVENUE,,,
UN,THE CIRCLE,,,
UN,THE CRESCENT,,,
UN,THERESA DRIVE,,,
UN,TIFFANY WOODS COURT,,,
UN,TIFFANY WOODS DRIVE,,,
UN,TIFFANY WOODS ROAD,,,
UN,TIOGA AVENUE,,,
UN,TITUS AVENUE,,,
UN,TOFTREES COURT,,,
UN,TOMLYN DRIVE,,,
UN,TOMPKINS PLACE,,,
UN,TOWER PLACE,,,
UN,TOWN COURT,,,
UN,TRACEY DRIVE,,,
UN,TRADITIONS WAY,,,
UN,TRAFALGAR COURT,,,
UN,TRENTON FREEWAY,,,
UN,TRENTON-PRINCETON ROAD,,,
UN,TRUMBULL AVENUE,,,
UN,TUDOR LANE,,,
UN,TULANE AVENUE,,,
UN,TWIN OAKS DRIVE,,,
UN,VACCARO ROAD,,,
UN,VALERIE LANE,,,
UN,VALLEY FORGE AVENUE,,,
UN,VAN BUREN PLACE,,,
UN,VAN KIRK ROAD,,,
UN,VANDERVEER DRIVE,,,
UN,VERMONT STREET,,,
UN,VIBURNUM COURT,,,
UN,VILLAGE COURT,,,
UN,VILLAGE ROAD,,,
UN,VILLANOVA DRIVE,,,
UN,VINCH AVENUE,,,
UN,VISTA DRIVE,,,
UN,VOSCEK COURT,,,
UN,WAYSIDE LANE,,,
UN,WELLSLEY COURT,,,
UN,WELLSLEY WAY,,,
UN,WENCZEL DRIVE,,,
UN,WEST CHURCH ROAD,,,
UN,WEST LAUREL WOOD DRIVE,,,
UN,WEST LONG DRIVE,,,
UN,WESTFIELD COURT,,,
UN,WEXFORD DRIVE,,,
UN,WHITE PINE CIRCLE,,,
UN,WHITEHEAD ROAD,,,
UN,WHITEMARSH DRIVE,,,
UN,WILDBRIAR LANE,,,
UN,WILK COURT,,,
UN,WILLOW ROAD,,,
UN,WILTSHIRE DRIVE,,,
UN,WINCHESTER AVENUE,,,
UN,WINDWOOD ROAD,,,
UN,WINNIPEG LANE,,,
UN,WINTHROP ROAD,,,
UN,WITTENBORN DRIVE,,,
UN,WOODBURY LANE,,,
UN,WOODFIELD LANE,,,
UN,WOODLANE ROAD,,,
UN,WOODMONT DRIVE,,,
UN,WOODS DRIVE,,,
UN,WOSNIAK COURT,,,
UN,YEGER DRIVE,,,
UN,YORKSHIRE VILLAGE ROAD,,,
UN,YOUNGS ROAD,,,
UN,ZOAR AVENUE,,,
