school,road,from,to,oddeven
EP,FLORHAM DR,,,
EP,FOCH AVE,,,
EP,FORREST AVE,,,
EP,FOXTAIL CT,,,
EP,FREDERICK CT,,,
EP,GAINSBORO RD,,,
EP,GARDEN RD,,,
EP,GARRY CT,,,
EP,GEDNEY RD,,,
EP,GLENN AVE,0,280,
EP,GREENFIELD AVE,,,
EP,GROVE AVE,,,
EP,HARDING AVE,,,
EP,HERITAGE WAY,,,
EP,HILLSDALE RD,,,
EP,HOOVER AVE,,,
EP,HUGHES AVE,,,
EP,IRWIN PLACE,,,
EP,J RUSSEL SMITH RD,,,
EP,JASPER AVE,,,
EP,JOFFRE AVE,,,
EP,JOHNSON RD,,,
EP,KARENA LANE,,,
EP,KENT CT,,,
EP,KETTERER CT,,,
EP,LANNIGAN AVE,,,
EP,LAWN PARK AVE,,,
EP,LAWNSIDE DR,,,
EP,LAWRENCE AVE,,,
EP,LAWRENCE RD,572,2261,
EP,LOCUST AVE,,,
EP,LOMBARD AVE,,,
EP,MARLBORO RD,,,
EP,MEADOWBROOK AVE,,,
EP,MERLINE AVE,,,
EP,MILLBROOK LANE,,,
EP,MILLERICK AVE,,,
EP,MINK COURT,,,
EP,NORTHBROOK AVE,,,
EP,OAKLYN TERR,,,
EP,ORCHARD LANE,,,
EP,PARK AVE,,,
EP,PIEDMONT AVE,,,
EP,PILLA AVE,,,
EP,PRINCETON AVE,2176,2600,
EP,REEDER AVE,,,
EP,RENEE CT,,,
EP,REVIEW AVE,,,
EP,ROLFE AVE,0,49,
EP,ROSE ST,,,
EP,ROSSA AVE,,,
EP,ROXBORO RD,,,
EP,RUBERT AVE,,,
EP,RYDAL DR,,,
EP,SETH CT,,,
EP,SHELMET LN,,,
EP,SKILLMAN AVE,,,
EP,SMITHFIELD AVE,,,
EP,SNYDER AVE,,,
EP,STELLA DR,,,
EP,STEWARDS CROSSING CREEK,,,
EP,STEWARDS CROSSING WAY,,,
EP,SUNSET RD,,,
EP,TEXAS AVE,,,
EP,TIFFANY WOODS RD,,,
EP,TRADITIONS WAY,,,
EP,TUDOR LANE,,,
EP,TULANE AVE,,,
LES,ABBY DR,,,
LES,ABELIA CT,,,
LES,ADELE CT,,,
LES,ALBERMARLE RD,,,
LES,ANDERSON LANE,,,
LES,ARDISIA CT,,,
LES,ARDMORE AVE,,,
LES,ASHLEIGH DR,,,
LES,ASHWOOD CT,,,
LES,AZALEA CT,,,
LES,BAKERS BASIN RD,,,
LES,BARBERRY CT,,,
LES,BARCLAY CT,,,
LES,BASIN RD,,,
LES,BELLEVIEW TERR,,,
LES,BENEDEK RD,,,
LES,BERGEN ST,,,
LES,BLACK RD,,,
LES,BLACKWELL RD,,,
LES,BRANCHWOOD CT,,,
LES,BROOKDALE DR,,,
LES,CAMPUS HILL,,,
LES,CARSON RD,,,
LES,CARTER RD,1,276,
LES,CARVER PL,,,
LES,CHATSWORTH CT,,,
LES,CHOPIN LANE,,,
LES,CLIVEDEN CT,,,
LES,COLD SOIL RD,,,
LES,CONCORD AVE,,,
LES,CORAL TREE CT,,,
LES,CRAVEN LANE,,,
LES,CYPRESS CT,,,
LES,DANIELLE CT,,,
LES,DARBY AVE,,,
LES,DENNICK CT,,,
LES,DIX LANE,,,
LES,DUSTIN DR,,,
LES,EASTON CT,,,
LES,EDGEHILL AVE,,,
LES,EDGEWOOD AVE,,,
LES,FAIRVIEW TER,,,
LES,FAIRWAY CT,,,
LES,FOUNTAYNE LANE,,,
LES,FRED VEREEN JR. RD,,,
LES,GALLO CT,,,
LES,GEORGE ST,,,
LES,GLENBROOK CT,,,
LES,GORDON AVE,,,
LES,GRANDVIEW AVE,,,
LES,GREEN AVE,,,
LES,GREENWOOD AVE,,,
LES,HEDGE ROW CT,,,
LES,HENDRICKSON RD,,,
LES,HIGHFIELD CT,,,
LES,HILLCREST AVE,,,
LES,HOLLY LANE,,,
LES,HUMPHREYS DR,,,
LES,INDIAN RUN,,,
LES,IVY GLEN LANE,,,
LES,JAMES ST,,,
LES,JASMINE CT,,,
LES,JOCHRIS DR,,,
LES,JOHNSON AVE,175,175,
LES,JUNIPER CT,,,
LES,KEEFE RD,,,
LES,LANDOVER RD,,,
LES,LAUREL WOOD DR,,,
LES,LAWRENCE RD,2270,3801,
LES,LAWRENCE STATION RD,,,
LES,LOST TRAIL,,,
LES,LVILLE-PENNGTON RD,20,202,evens
LES,LAWRENCEVILLE-PENNGTON RD,20,202,evens
LES,MAGNOLIA CT,,,
LES,MAIN ST,,,
LES,MANNING LANE,,,
LES,MANOR BLVD,,,
LES,MAPLE AVE,,,
LES,MARK CERMELE CT,,,
LES,MERION PLACE,,,
LES,MIMOSA CT,,,
LES,MONROE AVE,,,
LES,MYA DR,,,
LES,NASSAU DR,,,
LES,NORTH FIELD CT,,,
LES,OLD BRIDLE PATH,,,
LES,OLEANDER CT,,,
LES,OVERLOOK WAY,,,
LES,PAGODA CT,,,
LES,PENLAW RD,,,
LES,PHEASANT DR,,,
LES,PHILLIPS AVE,,,
LES,PLAYERS LANE,,,
LES,POE RD,,,
LES,PRETTY BROOK RD,800,841,
LES,PROVINCE LINE RD,4458,4750,
LES,QUINCE CT,,,
LES,REGISTRY DR,,,
LES,ROSEBERRY CT,,,
LES,ROSEDALE RD,634,729,
LES,ROSELAND AVE,,,
LES,SANTINA COURT,,,
LES,SHADOWSTONE LANE,,,
LES,SHINNEY LANE,,,
LES,SHIRLEY LANE,,,
LES,SOCIETY WAY,,,
